topic_number,top_words
1,"artists, artist, love, images, real, free, image, accessible, understand, life, prompt, generate"
2,"draw, drawing, digital, artist, pencil, amazing, midjourney, cool, create, paper, able, tools"
3,"work, used, new, creative, human, anything, creativity, artist, idea, trying, learn, long"
