word,frequency
real,168
artist,162
human,141
artists,113
work,84
draw,72
love,69
digital,65
humans,56
life,56
replace,47
world,46
cool,44
traditional,42
create,41
us,41
end,41
makes,41
image,41
go,40
feel,39
elvis,39
anything,38
give,38
water,38
sure,38
ever,37
stop,37
best,37
everything,37
